person_id,display_name,segment_id,source_kind,source_ref,lane_id,lane_label,short_label,responsibility_label,carrier_kind,current_segment_state,proposed_baseline_pas,proposed_baseline_pas_state,proposed_effective_pas,proposed_effective_pas_state,evidence_coverage_pct,explicit_missing_observation_count,proposed_width_basis,tooltip_state,current_ui_segment_pas_value,current_ui_segment_pas_state,ui_files_modified,runtime_authority,proposal_id
t0p_1a651f26b966680a3f01d361,Gilbert Waxman,responsibility:uatdem_7064c072375df4bb011fa866,responsibility,uatdem_7064c072375df4bb011fa866,local_order_labor,Local Order / Labor,Order,Local order and grievance sensing,martial_service_assignment,unresolved_or_candidate,0.34,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_1a651f26b966680a3f01d361,Gilbert Waxman,responsibility:uatdem_fe05692d5340a0a95c68d221,responsibility,uatdem_fe05692d5340a0a95c68d221,military_readiness,Military Readiness,Muster,Military and security readiness,martial_service_assignment,unresolved_or_candidate,0.20,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,25.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_1a651f26b966680a3f01d361,Gilbert Waxman,responsibility:uatdem_bc8c95ad29c8075589ca0152,responsibility,uatdem_bc8c95ad29c8075589ca0152,military_readiness,Military Readiness,Muster,Military equipment and horse stores,martial_service_assignment,unresolved_or_candidate,0.45,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,16.67,4,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_1a651f26b966680a3f01d361,Gilbert Waxman,responsibility:uatdem_722a5367606fedff3ddc2cd6,responsibility,uatdem_722a5367606fedff3ddc2cd6,military_readiness,Military Readiness,Muster,Muster and service roster,martial_service_assignment,unresolved_or_candidate,0.35,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_4c0db3b36235e233ca0cd4d6,Michael Moorbrook,responsibility:uatdem_2272b2f09bdff22a562b2c21,responsibility,uatdem_2272b2f09bdff22a562b2c21,local_order_labor,Local Order / Labor,Order,Local order and grievance sensing,martial_service_assignment,unresolved_or_candidate,0.34,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_4c0db3b36235e233ca0cd4d6,Michael Moorbrook,responsibility:uatdem_da691552cabd19d76eb9c311,responsibility,uatdem_da691552cabd19d76eb9c311,military_readiness,Military Readiness,Muster,Military and security readiness,martial_service_assignment,unresolved_or_candidate,0.20,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,25.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_4c0db3b36235e233ca0cd4d6,Michael Moorbrook,responsibility:uatdem_718d6701589faf0c6b7ab915,responsibility,uatdem_718d6701589faf0c6b7ab915,military_readiness,Military Readiness,Muster,Military equipment and horse stores,martial_service_assignment,unresolved_or_candidate,0.45,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,16.67,4,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_4c0db3b36235e233ca0cd4d6,Michael Moorbrook,responsibility:uatdem_212bbb67c286e176fa73519c,responsibility,uatdem_212bbb67c286e176fa73519c,military_readiness,Military Readiness,Muster,Muster and service roster,martial_service_assignment,unresolved_or_candidate,0.35,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_b21c9327a2680555558e2d7c,Ralph Scriven,responsibility:uatdem_a62f0da03fdc4203dabc8053,responsibility,uatdem_a62f0da03fdc4203dabc8053,local_order_labor,Local Order / Labor,Order,Local order and grievance sensing,martial_service_assignment,unresolved_or_candidate,0.34,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_b21c9327a2680555558e2d7c,Ralph Scriven,responsibility:uatdem_e648af16b3dd4afe91367d0b,responsibility,uatdem_e648af16b3dd4afe91367d0b,military_readiness,Military Readiness,Muster,Military and security readiness,martial_service_assignment,unresolved_or_candidate,0.20,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,25.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
